"NP","NM","nlP","nlM","nlnP","nlnM","zoP","zoM","wP","wM","timesteps","Lambda","mutprb","prbHorz","pfP","pfM","FLFC","FC","pVp","tVp","pVm","tVm","dP","dM","tcoefP","tcoefM","repl"
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.8,0.1,0.999988539075808,0.409807820083659,0.000704977413702743,0.590192179916341,0.00101528603456144,0.00273830163959321,0.00273830163959321,-7.28808410843644e-05,3.16817007769354e-06,5
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.9,0.1,0.999978429260821,0.732653423573108,0.00131855801543147,0.267346576426892,0.000481144235328429,0.00308277112544397,0.00308277112544397,0.000151575521529344,-8.21055881079675e-05,1
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.9,0.1,0.999983595038543,0.81038201899648,0.00124265663379322,0.18961798100352,0.000290764153765761,0.00289417342021814,0.00289417342021814,0.000113924070372902,-8.53608138250154e-05,2
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.9,0.1,0.999974850201768,0.605669764133128,0.000838187353736183,0.394330235866872,0.00054571424309497,0.00266508203376237,0.00266508203376237,9.28138947314534e-05,0.000230535531935772,3
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.9,0.1,0.999973330776037,0.679214567926622,0.00128296549783966,0.320785432073378,0.000605930233234032,0.00578368840627919,0.00578368840627919,0.000183875083394128,9.76476213855503e-05,4
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.9,0.1,0.99999218641883,0.678558170794769,0.000994079023675604,0.321441829205231,0.00047090816012218,0.00510727573142788,0.00510727573142788,5.30906081043226e-05,-4.59144355968355e-05,5
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,1,0.1,0.999967130687092,0.734246027564861,0.00135702115049471,0.265753972435139,0.000491162019110297,0.00139545466818003,0.00139545466818003,-3.79986648673255e-05,1.82150376324956e-05,1
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,1,0.1,0.999982886272842,0.724749461643042,0.00127416887680117,0.275250538356958,0.000483912976633487,0.0168504403208478,0.0168504403208478,-0.000166435114131309,-0.000153639465604024,2
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,1,0.1,0.999976977825267,0.609211709773353,0.000654075932800365,0.390788290226647,0.000419567141203749,0.00971112723214418,0.00971112723214418,-0.00020909274142552,0.000136472857883541,3
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,1,0.1,0.99998330254633,0.58401843143327,0.000909621643675797,0.41598156856673,0.000647900507540298,0.00451152782217346,0.00451152782217346,3.54383007322783e-05,-2.83170718779378e-05,4
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,1,0.1,0.99998528669967,0.699624244915413,0.000909585282019475,0.300375755084587,0.000390520151189813,0.000745262262821456,0.000745262262821456,-0.000272575662085577,0.000216931377144991,5
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.1,0.1,-0.623139793913922,0.558839939025872,0.0341465718952484,0.441160060974128,0.0269560256656385,0.667721494529954,0.332278505470046,-0.0135710679439553,0.0125489941662344,1
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.1,0.1,-0.773452686383531,0.517167384192083,0.0195770714481461,0.482832615807917,0.0182773487000412,0.672530131256908,0.327469868743092,-0.0124221122878976,0.0119126282099735,2
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.1,0.1,-0.318332249667592,0.780307108000721,0.0322162531829685,0.219692891999279,0.00907037980120614,0.757674707459008,0.242325292540992,-0.00583128438220882,0.00614064949391816,3
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.1,0.1,-0.490807779137078,0.703781258250592,0.0251142127073777,0.296218741749408,0.0105704725736779,0.746763063495611,0.253236936504389,-0.0059084856960211,0.00713891597677968,4
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.1,0.1,-0.516676364208338,0.714932375015014,0.0276540314689093,0.285067624984986,0.0110265940494533,0.731137705713229,0.268862294286771,-0.00886977521255335,0.00878997314024376,5
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.2,0.1,-0.518210591928138,0.700338540324702,0.0200440161920471,0.299661459675298,0.00857645096481389,0.760336862627853,0.239663137372147,-0.00359699566339169,0.00439740178744305,1
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.2,0.1,-0.395553061342622,0.472580062056381,0.0163716132767457,0.527419937943619,0.0182714336717574,0.723756529225655,0.276243470774345,-0.00551117737298624,0.0064768932010368,2
