"NP","NM","nlP","nlM","nlnP","nlnM","zoP","zoM","wP","wM","timesteps","Lambda","mutprb","fiterrP","fiterrM","prbHorz","pfP","pfM","FLFC","FC","pVp","tVp","pVm","tVm","dP","dM","tcoefP","c.0..rep.tcoefM..each...10.."
100,100,100,200,3,3,3,2,1,1,500,30,0.000075,0.001,0.001,0.2,0.6,0.6,0.1,0.295628272573908,0.965576133969169,0.0101137272727273,0.0344238660308306,0.000360565656565657,0.3773,0.6227,0.00649575757575762,-0.000696363636363635
100,100,100,200,3,3,3,2,1,1,500,30,0.0001,0.001,0.001,0.2,0.6,0.6,0.1,-0.863255883740354,0.663358891686509,0.00176439393939394,0.336641108313491,0.00089539393939394,0.4721,0.5279,0.00115212121212122,0.0000400000000000054
100,100,100,200,3,3,3,2,1,1,500,30,0.00025,0.001,0.001,0.2,0.6,0.6,0.1,-0.514249474991923,0.56247321091948,0.00792665656565656,0.43752678908052,0.00616584848484848,0.5278,0.4722,0.00709454545454543,-0.00360181818181818
100,100,100,200,3,3,3,2,1,1,500,30,0.00075,0.001,0.001,0.2,0.6,0.6,0.1,0.479156221410375,0.780669803822195,0.0412012525252525,0.219330196177805,0.0115755454545455,0.4213,0.5787,0.00174424242424242,0.00258848484848487
100,100,100,200,3,3,3,2,1,1,500,30,0.001,0.001,0.001,0.2,0.6,0.6,0.1,0.421032307475454,0.673424706231595,0.0591650404040404,0.326575293768405,0.0286919090909091,0.5382,0.4618,0.00399090909090912,-0.0197145454545454
100,100,100,200,3,3,3,2,1,1,500,30,0.0015,0.001,0.001,0.2,0.6,0.6,0.1,0.449392499134203,0.617066636573997,0.0526930404040404,0.382933363426003,0.0326997474747475,0.5492,0.4508,0.00621272727272727,-0.0191606060606061
100,100,100,200,3,3,3,2,1,1,500,30,0.002,0.001,0.001,0.2,0.6,0.6,0.1,0.590275949012684,0.668830239836713,0.0892028686868687,0.331169760163287,0.044168595959596,0.4993,0.5007,0.0165727272727274,-0.0196854545454546
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.0001,0.001,0.2,0.6,0.6,0.1,0.0150600717589926,0.520936746284914,0.0162317575757576,0.479063253715086,0.0149270303030303,0.4448,0.5552,0.011718787878788,-0.00823636363636366
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.0005,0.001,0.2,0.6,0.6,0.1,0.178922702021802,0.683388784942052,0.0192288484848485,0.316611215057948,0.00890864646464647,0.4574,0.5426,-0.00460181818181817,-0.00219090909090905
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.0015,0.001,0.2,0.6,0.6,0.1,0.16403257095578,0.72851897671322,0.0296224646464646,0.27148102328678,0.0110387474747475,0.5118,0.4882,0.00230909090909089,-0.00354242424242424
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.0025,0.001,0.2,0.6,0.6,0.1,0.601479162590626,0.376546595526023,0.0163658484848485,0.623453404473978,0.0270971616161616,0.6068,0.3932,0.000452727272727301,-0.0181872727272728
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.005,0.001,0.2,0.6,0.6,0.1,0.738114818320982,0.672468303551648,0.0268279191919192,0.327531696448352,0.0130667777777778,0.6289,0.3711,-0.0024709090909091,-0.00366181818181819
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.0075,0.001,0.2,0.6,0.6,0.1,0.05954082501848,0.790163904975983,0.0319886363636364,0.209836095024017,0.00849490909090909,0.4363,0.5637,0.01756,-0.00631454545454547
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.01,0.001,0.2,0.6,0.6,0.1,0.242196245169984,0.548737992783643,0.0259230202020202,0.451262007216357,0.0213181414141414,0.5363,0.4637,0.00558181818181818,-0.00329454545454545
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.015,0.001,0.2,0.6,0.6,0.1,0.00697274433826758,0.793314475526237,0.0356262626262626,0.206685524473763,0.00928185858585858,0.5436,0.4564,-0.00561878787878792,0.00248545454545455
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.02,0.001,0.2,0.6,0.6,0.1,0.848108271019992,0.703221806577499,0.0186752626262626,0.296778193422502,0.00788145454545455,0.6749,0.3251,-0.00335878787878788,-0.0047406060606061
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.05,0.001,0.2,0.6,0.6,0.1,0.0346110169268832,0.725769315465208,0.031926101010101,0.274230684534792,0.0120632222222222,0.5367,0.4633,0.00454545454545455,-0.00298727272727271
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.0001,0.2,0.6,0.6,0.1,0.0775578810188034,0.81130891478289,0.0356262626262626,0.18869108521711,0.00828581818181818,0.4572,0.5428,-0.00110060606060615,0.000690303030302977
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.0005,0.2,0.6,0.6,0.1,-0.25427921701685,0.625845895761072,0.0134305454545455,0.374154104238928,0.00802928282828283,0.4477,0.5523,0.0101824242424243,-0.00392303030303031
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.0015,0.2,0.6,0.6,0.1,0.287054008255398,0.779594068671794,0.0252013232323232,0.220405931328206,0.00712488888888889,0.4193,0.5807,0.000147878787878763,-0.00141515151515149
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.0025,0.2,0.6,0.6,0.1,0.194347730325718,0.578494015561832,0.0267614545454546,0.421505984438168,0.019499101010101,0.5037,0.4963,-0.0010151515151515,-0.00815212121212121
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.005,0.2,0.6,0.6,0.1,0.239343874085214,0.587567934782609,0.0174727272727273,0.412432065217391,0.0122646464646465,0.434,0.566,-0.00217393939393947,-0.00110484848484848
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.0075,0.2,0.6,0.6,0.1,0.519667812479014,0.467166932446754,0.0339677878787879,0.532833067553246,0.0387423838383838,0.4085,0.5915,-0.00388848484848475,-0.0115424242424242
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.01,0.2,0.6,0.6,0.1,0.786250781350565,0.597729504155855,0.0218611717171717,0.402270495844145,0.0147125151515152,0.3469,0.6531,-0.000167878787878792,0.00695575757575757
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.015,0.2,0.6,0.6,0.1,0.552876538082781,0.569695329899332,0.0247350606060606,0.430304670100668,0.0186829898989899,0.3899,0.6101,-0.00379030303030302,0.00151030303030303
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.02,0.2,0.6,0.6,0.1,0.0112494628441885,0.574913986723721,0.0321052121212121,0.425086013276279,0.0237382929292929,0.4669,0.5331,-0.00438181818181822,0.0000818181818181822
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.05,0.2,0.6,0.6,0.1,0.76109699807809,0.556590709998966,0.0165325656565657,0.443409290001034,0.0131707070707071,0.3304,0.6696,0.00101090909090908,-0.000344242424242438
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.01,0.6,0.6,0.1,0.330719951900271,0.861480271325241,0.0265308686868687,0.138519728674759,0.0042659696969697,0.4275,0.5725,-0.00312969696969698,-0.00311212121212122
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.025,0.6,0.6,0.1,0.111700006510524,0.718140526690954,0.0227852424242424,0.281859473309046,0.00894286868686869,0.4335,0.5665,0.00226848484848478,-0.00719272727272724
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.05,0.6,0.6,0.1,-0.188717922485043,0.508354878616898,0.0182422121212121,0.491645121383102,0.0176425858585859,0.5183,0.4817,0.00299818181818178,-0.00628969696969696
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.075,0.6,0.6,0.1,0.231788913337766,0.534510753137246,0.0179694848484849,0.465489246862754,0.0156490808080808,0.4332,0.5668,0.0132284848484849,0.00364666666666667
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.1,0.6,0.6,0.1,-0.0177322785068564,0.748174707994552,0.0292970101010101,0.251825292005448,0.0098609696969697,0.4872,0.5128,-0.00666303030303032,-0.00377030303030306
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.125,0.6,0.6,0.1,0.300034987522222,0.798513024856648,0.0240675858585858,0.201486975143352,0.0060729191919192,0.4456,0.5544,0.0104127272727273,-0.0012448484848485
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.15,0.6,0.6,0.1,0.170343946010123,0.590558455552788,0.0223925151515152,0.409441544447212,0.0155250101010101,0.4611,0.5389,0.00270727272727279,-0.0120133333333333
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.175,0.6,0.6,0.1,0.614082042701917,0.698103668835826,0.024088595959596,0.301896331164174,0.0104171616161616,0.3922,0.6078,0.00968363636363638,-0.00409636363636361
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.25,0.6,0.6,0.1,-0.0335513756338346,0.602417677355042,0.0183128888888889,0.397582322644958,0.012086101010101,0.5242,0.4758,0.0079084848484849,-0.00631999999999996
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.5,0.6,0.6,0.1,-0.0822311823055186,0.78915564755577,0.0215339292929293,0.210844352444231,0.00575337373737373,0.4575,0.5425,0.0111248484848485,-0.00802424242424243
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0,0.6,0.1,-0.412362885560101,0.742943652422982,0.0378119595959596,0.257056347577018,0.0130828282828283,0.8204,0.1796,-0.010909090909091,0.0143703030303031
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.1,0.6,0.1,-0.289388720052517,0.769441563484613,0.0284613636363636,0.230558436515388,0.00852827272727272,0.8466,0.1534,-0.00615454545454544,0.00727454545454549
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.2,0.6,0.1,0.263334281508848,0.481460296716036,0.0216724343434343,0.518539703283964,0.0233415252525253,0.736,0.264,0.00135515151515152,0.0040315151515151
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.3,0.6,0.1,0.592618552226786,0.766350754355011,0.0264252525252525,0.233649245644989,0.00805667676767676,0.6313,0.3687,-0.00530484848484847,0.00564727272727273
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.4,0.6,0.1,1,0.787633283104607,0.023600595959596,0.212366716895393,0.00636334343434343,0.6002,0.3998,0.0010975757575757,0.00039090909090908
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.5,0.6,0.1,0.737536354410776,0.701298315562349,0.0221803939393939,0.298701684437651,0.00944722222222222,0.5974,0.4026,-0.00753636363636363,-0.00201575757575758
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.204643269714679,0.807127034756106,0.0226387474747475,0.192872965243894,0.00540980808080808,0.4131,0.5869,-0.000701212121212129,-0.000330303030302974
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.7,0.6,0.1,-0.238240784925327,0.724525733928886,0.0382532828282829,0.275474266071114,0.014544404040404,0.3617,0.6383,0.00666303030303017,-0.0062672727272727
